colony,date,distance,from,from_ID,from_ID_date,from_nest_size,from_x,from_y,network_ID,strength,to,to_ID,to_ID_date,to_nest_size,to_x,to_y,trail_ID,trail_type,tree_type,year,treatment,dataset
2a,28/08/2013,5.8,N4,2a_N4,2a_N4_2013-08-28,26.988,2.324996956,4.027019885,2a_2013-08-28,0.1,T2,2a_T2,2a_T2_2013-08-28,1,6.702312914,7.832161801,2a_2013-08-28_N4_T2,foraging,focal,2013,control,Estimation
2a,25/08/2014,5.8,N4,2a_N4,2a_N4_2014-08-25,18.931,2.324996956,4.027019885,2a_2014-08-25,0.125,T2,2a_T2,2a_T2_2014-08-25,1,6.702312914,7.832161801,2a_2014-08-25_N4_T2,foraging,focal,2014,control,Estimation
2a,22/08/2017,5.8,N4,2a_N4,2a_N4_2017-08-22,5.306,2.324996956,4.027019885,2a_2017-08-22,0.2,T2,2a_T2,2a_T2_2017-08-22,1,6.702312914,7.832161801,2a_2017-08-22_N4_T2,foraging,focal,2017,control,Empirical control
2a,12/06/2018,5.8,N4,2a_N4,2a_N4_2018-06-12,15.54890029,2.324996956,4.027019885,2a_2018-06-12,0.2,T2,2a_T2,2a_T2_2018-06-12,1,6.702312914,7.832161801,2a_2018-06-12_N4_T2,foraging,focal,2018,control,Empirical control
2a,27/06/2019,5.8,N4,2a_N4,2a_N4_2019-06-27,9.077098228,2.324996956,4.027019885,2a_2019-06-27,0.2,T2,2a_T2,2a_T2_2019-06-27,1,6.702312914,7.832161801,2a_2019-06-27_N4_T2,foraging,focal,2019,control,Empirical control
2a,10/08/2020,7.624978981,N3,2a_N3,2a_N3_2020-08-10,15.07815991,-0.137022634,4.46113915,2a_2020-08-10,0.02,T2,2a_T2,2a_T2_2020-08-10,1,6.702312914,7.832161801,2a_2020-08-10_N3_T2,foraging,focal,2020,control,Empirical control
2a,25/08/2015,19.2,N5,2a_N5,2a_N5_2015-08-25,4.017,-2.511675742,4.72376809,2a_2015-08-25,0.04,T3,2a_T3,2a_T3_2015-08-25,1,-19.13936857,14.32375929,2a_2015-08-25_N5_T3,foraging,regular,2015,control,Estimation
2a,22/08/2016,19.2,N5,2a_N5,2a_N5_2016-08-22,2.154,-2.511675742,4.72376809,2a_2016-08-22,0.033,T3,2a_T3,2a_T3_2016-08-22,1,-19.13936857,14.32375929,2a_2016-08-22_N5_T3,foraging,regular,2016,control,Estimation
6,26/07/2012,3.603278849,N1,6_N1,6_N1_2012-07-26,6.75,18.95857903,3.895837214,6_2012-07-26,0.167,T1,6_T1,6_T1_2012-07-26,1,18.92792481,7.498985668,6_2012-07-26_N1_T1,foraging,regular,2012,control,Estimation
6,26/07/2012,5.830000002,N3,6_N3,6_N3_2012-07-26,10.117,14.09463548,4.238891455,6_2012-07-26,0.333,T1,6_T1,6_T1_2012-07-26,1,18.92792481,7.498985668,6_2012-07-26_N3_T1,foraging,regular,2012,control,Estimation
6,25/08/2015,3.603278849,N1,6_N1,6_N1_2015-08-25,8.14,18.95857903,3.895837214,6_2015-08-25,0.04,T1,6_T1,6_T1_2015-08-25,1,18.92792481,7.498985668,6_2015-08-25_N1_T1,foraging,regular,2015,control,Estimation
6,25/08/2015,3.624226729,N2,6_N2,6_N2_2015-08-25,36.022,17.34463548,4.238891455,6_2015-08-25,0.04,T1,6_T1,6_T1_2015-08-25,1,18.92792481,7.498985668,6_2015-08-25_N2_T1,foraging,regular,2015,control,Estimation
6,22/08/2016,3.624226729,N2,6_N2,6_N2_2016-08-22,27.333,17.34463548,4.238891455,6_2016-08-22,0.05,T1,6_T1,6_T1_2016-08-22,1,18.92792481,7.498985668,6_2016-08-22_N2_T1,foraging,regular,2016,control,Estimation
6,28/08/2013,3.624226729,N2,6_N2,6_N2_2013-08-28,71.7,17.34463548,4.238891455,6_2013-08-28,0.167,T1,6_T1,6_T1_2013-08-28,1,18.92792481,7.498985668,6_2013-08-28_N2_T1,foraging,regular,2013,control,Estimation
6,25/08/2014,3.603278849,N1,6_N1,6_N1_2014-08-25,1.311,18.95857903,3.895837214,6_2014-08-25,0.067,T1,6_T1,6_T1_2014-08-25,1,18.92792481,7.498985668,6_2014-08-25_N1_T1,foraging,regular,2014,control,Estimation
6,22/08/2017,5.830000002,N3,6_N3,6_N3_2017-08-22,16.539,14.09463548,4.238891455,6_2017-08-22,0.003,T1,6_T1,6_T1_2017-08-22,1,18.92792481,7.498985668,6_2017-08-22_N3_T1,foraging,regular,2017,control,Empirical control
6,27/06/2019,5.222470394,N55,6_N55,6_N55_2019-06-27,22.47319032,15.48766,3.569765,6_2019-06-27,0.2,T1,6_T1,6_T1_2019-06-27,1,18.92792481,7.498985668,6_2019-06-27_N55_T1,foraging,regular,2019,control,Empirical control
