network_ID,colony,date,node_ID,ID,x,y,species,nest.size,year,tree_type,treatment,dataset
12_2013-08-28,12,28/08/2013,12_N4,N4,0,0,nest,87.252,2013,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_N5,N5,-0.475737539,-6.803386935,nest,230.906,2013,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_T1,T1,14.05750126,6.413186272,tree,0,2013,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_T2,T2,6.719719177,8.920695916,tree,0,2013,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_T3,T3,0.669809191,0.52331219,tree,0,2013,focal,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_T4,T4,-6.080843308,-13.48329632,tree,0,2013,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_T5,T5,-2.082613327,-8.860095521,tree,0,2013,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_T6,T6,-6.14190775,1.785842484,tree,0,2013,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_T7,T7,-14.02006115,3.544862573,tree,0,2013,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_N3,N3,1.792672664,1.034999864,nest,51.088,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_N4,N4,0,0,nest,71.04,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_N5,N5,-0.475737539,-6.803386935,nest,51.088,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_T1,T1,14.05750126,6.413186272,tree,0,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_T2,T2,6.719719177,8.920695916,tree,0,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_T3,T3,0.669809191,0.52331219,tree,0,2014,focal,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_T4,T4,-6.080843308,-13.48329632,tree,0,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_T5,T5,-2.082613327,-8.860095521,tree,0,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_T6,T6,-6.14190775,1.785842484,tree,0,2014,regular,exclusion,Estimation
12_2014-08-25,12,25/08/2014,12_T7,T7,-14.02006115,3.544862573,tree,0,2014,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N13,N13,-0.298858422,0.026146584,nest,1.066,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N14,N14,-4.48001839,1.576738864,nest,3.144,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N15,N15,-3.100986217,1.12866491,nest,0.932,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N16,N16,-6.614141115,1.545227337,nest,0.125,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N17,N17,-13.62605575,3.237031873,nest,3.915,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N18,N18,-13.72906331,3.065598381,nest,0.243,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N19,N19,-14.4768338,3.341494072,nest,14.608,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N20,N20,-26.67217539,5.848155829,nest,5.04,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N3,N3,1.792672664,1.034999864,nest,99.994,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N4,N4,0,0,nest,246.121,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_N5,N5,-0.475737539,-6.803386935,nest,180.462,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T1,T1,14.05750126,6.413186272,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T10,T10,-25.55467276,14.03922672,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T11,T11,-22.81601568,11.21625546,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T2,T2,6.719719177,8.920695916,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T3,T3,0.669809191,0.52331219,tree,0,2015,focal,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T4,T4,-6.080843308,-13.48329632,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T5,T5,-2.082613327,-8.860095521,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T6,T6,-6.14190775,1.785842484,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T7,T7,-14.02006115,3.544862573,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T8,T8,-15.45443572,-12.25519406,tree,0,2015,regular,exclusion,Estimation
12_2015-08-25,12,25/08/2015,12_T9,T9,-12.13200292,-14.66564345,tree,0,2015,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_N14,N14,-4.48001839,1.576738864,nest,19.744,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_N15,N15,-3.100986217,1.12866491,nest,12.895,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_N17,N17,-13.62605575,3.237031873,nest,11.055,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_N19,N19,-14.4768338,3.341494072,nest,51.911,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_N3,N3,1.792672664,1.034999864,nest,196.482,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_N4,N4,0,0,nest,158.156,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_N5,N5,-0.475737539,-6.803386935,nest,207.816,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_T2,T2,6.719719177,8.920695916,tree,0,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_T3,T3,0.669809191,0.52331219,tree,0,2016,focal,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_T4,T4,-6.080843308,-13.48329632,tree,0,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_T5,T5,-2.082613327,-8.860095521,tree,0,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_T6,T6,-6.14190775,1.785842484,tree,0,2016,regular,exclusion,Estimation
12_2016-08-22,12,22/08/2016,12_T7,T7,-14.02006115,3.544862573,tree,0,2016,regular,exclusion,Estimation
12_2017-08-22,12,22/08/2017,12_N14,N14,-4.48001839,1.576738864,nest,29.167,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N15,N15,-3.100986217,1.12866491,nest,29.518,2017,regular,exclusion,Empirical exclusion
12_2017-08-22,12,22/08/2017,12_N17,N17,-13.62605575,3.237031873,nest,3.692,2017,regular,exclusion,Empirical exclusion
