"dataset","colony","date","num_nests","num_trees","num_foraging","num_internest","trees_to_nests_rat","internest_to_nests_rat","foraging_to_nests_rat","num_components_nests","edge_density","edge_density_nests","network_efficiency","network_efficiency_nests","network_robustness","network_robustness_nests","network_cost","network_cost_nests","resource_capital","resource_variance"
"Estimation","7",2015-08-25,6,5,5,4,0.833333333333333,0.666666666666667,0.833333333333333,2,0.0818181818181818,0.133333333333333,0.0602623739363211,0.122003195899253,0.807751937984496,0.671875,78.5044513858015,15.9999999949583,0.00932095602022423,7.408270880307e-05
"Estimation","7",2016-08-22,19,4,7,20,0.210526315789474,1.05263157894737,0.368421052631579,1,0.0533596837944664,0.0584795321637427,0.117321731895878,0.142431940371321,0.932721020051089,0.884024424643158,158.644915713561,90.8464935797687,0.0231580834905741,0.00863786517114965
"Empirical exclusion","7",2017-08-22,10,2,2,1,0.2,0.1,0.2,9,0.0227272727272727,0.0111111111111111,0.0110775702511198,0.00740841036425596,0.619047619047619,0,17.5288408629215,2.9995938574677,0.00598407710924741,7.16183576988376e-05
"Empirical exclusion","7",2018-06-12,11,4,6,5,0.363636363636364,0.454545454545455,0.545454545454545,6,0.0523809523809524,0.0454545454545455,0.0855319930462451,0.100414856819445,0.886120996441281,0.742857142857143,46.8326247459661,10.3431285993946,0.0366572286064465,0.00257805259145918
"Empirical exclusion","7",2019-06-27,18,8,13,14,0.444444444444444,0.777777777777778,0.722222222222222,4,0.0415384615384615,0.0457516339869281,0.0422819993466753,0.0499508589022807,0.929588380732292,0.838546922300706,208.591712530825,76.8007196846986,0.00237988009662461,2.37805310817984e-05
"Empirical exclusion","7",2020-08-13,13,7,10,9,0.538461538461538,0.692307692307692,0.769230769230769,4,0.05,0.0576923076923077,0.0254589083859003,0.0298749228073627,0.943333333333333,0.855855855855856,172.932515673907,58.7276570560122,0.00113246528316172,3.69510825663371e-06
"Empirical exclusion","7",2021-07-29,10,9,12,4,0.9,0.4,1.2,6,0.0467836257309941,0.0444444444444444,0.0283433247368693,0.0345317276840093,0.930795847750865,0.722222222222222,115.726393883313,15.4400000022564,0.0250493700745228,0.00122720286826462
"Estimation","8",2012-07-26,6,8,9,6,1.33333333333333,1,1.5,1,0.0824175824175824,0.2,0.10849632981064,0.262644063401055,0.904539754201154,0.819672131147541,90.3592396153942,27.3959026898227,0.00273232403393681,7.89201904176855e-06
"Estimation","8",2013-08-28,4,9,10,3,2.25,0.75,2.5,1,0.0833333333333333,0.25,0.0857326138206715,0.109923817005073,0.86679839204197,0.538461538461538,79.1205812494733,20.2206553880091,0.00721545523383549,1.086909886713e-05
"Estimation","8",2014-08-25,4,10,11,4,2.5,1,2.75,1,0.0824175824175824,0.333333333333333,0.0803579280959456,0.168190990361786,0.896934306569343,0.808333333333333,102.855872457777,25.1513270893903,0.158050394008292,0.0604718269715093
"Estimation","8",2015-08-25,10,6,8,10,0.6,1,0.8,1,0.075,0.111111111111111,0.199004984078594,0.360468718734451,0.922606032798203,0.827159838675441,76.8720517910471,31.3896674969224,0.569340985271661,3.18648639809772
"Estimation","8",2016-08-22,11,9,15,13,0.818181818181818,1.18181818181818,1.36363636363636,1,0.0736842105263158,0.118181818181818,0.127880680469957,0.212606419000928,0.963520393124531,0.915372873395261,138.989667324183,48.9450553266781,0.0648614316311317,0.0414276058524584
"Empirical control","8",2017-08-22,5,15,16,4,3,0.8,3.2,1,0.0526315789473684,0.2,0.0544281756650034,0.129109646772272,0.902836363636364,0.61038961038961,201.615326132206,22.4430937131419,0.00387211979464947,2.07359188296108e-05
"Empirical control","8",2018-06-12,7,12,15,6,1.71428571428571,0.857142857142857,2.14285714285714,1,0.0614035087719298,0.142857142857143,0.0667897313398389,0.0661232932284689,0.92465526751241,0.727272727272727,225.119990114193,97.1010376735074,0.00343081134685767,1.01272190324639e-05
"Empirical control","8",2019-06-27,5,15,16,4,3,0.8,3.2,1,0.0526315789473684,0.2,0.0477638649966116,0.0779160881647959,0.901236363636364,0.61038961038961,243.232112290669,67.1446594701319,0.0018441796235497,4.95844522423997e-06
"Empirical control","8",2020-08-13,6,10,12,5,1.66666666666667,0.833333333333333,2,1,0.0708333333333333,0.166666666666667,0.0864047678123065,0.242921771048328,0.89217833359759,0.666666666666667,130.44022832392,24.6441524403337,0.00062962994355896,6.60118746532843e-07
"Empirical control","8",2021-07-29,3,5,6,2,1.66666666666667,0.666666666666667,2,1,0.142857142857143,0.333333333333333,0.111837395336266,0.178047523756427,0.825257731958763,0.4,43.5383111616984,9.36306883132266,0.00559076303123943,9.94486508581448e-06
"Estimation","9",2012-07-26,9,10,16,8,1.11111111111111,0.888888888888889,1.77777777777778,1,0.0701754385964912,0.111111111111111,0.103945247522024,0.219260159448685,0.943784785854884,0.741131351869607,161.019985192837,41.0423709360081,0.0392291547223435,0.00471801190968746
"Estimation","9",2013-08-28,17,9,12,16,0.529411764705882,0.941176470588235,0.705882352941177,1,0.0430769230769231,0.0588235294117647,0.0723083522755692,0.0910526955162162,0.919532119659725,0.830953902976064,186.336819036524,103.991720836087,0.0446710307815155,0.0216706924359546
"Estimation","9",2014-08-25,15,7,13,15,0.466666666666667,1,0.866666666666667,1,0.0606060606060606,0.0714285714285714,0.0795707652456602,0.0919790659488191,0.948794893172776,0.877144896759409,239.23344348682,155.495766944799,0.0157695347383394,0.0014199568879026
"Estimation","9",2015-08-25,15,7,12,17,0.466666666666667,1.13333333333333,0.8,1,0.0627705627705628,0.080952380952381,0.119049600586423,0.14609099501493,0.961181271541365,0.914939080766781,150.365570191017,82.3164298356103,0.0396664415326277,0.00620454833860886
"Estimation","9",2016-08-22,13,6,9,12,0.461538461538462,0.923076923076923,0.692307692307692,1,0.0614035087719298,0.0769230769230769,0.117399786329634,0.147821555082871,0.917849484781228,0.783645273349272,105.831704632168,54.970326572523,0.00128462152434287,6.7808973634647e-06
"Empirical control","9",2017-08-22,17,7,10,15,0.411764705882353,0.882352941176471,0.588235294117647,3,0.0452898550724638,0.0551470588235294,0.0773645848849221,0.0783391103229115,0.916486104820015,0.845822375220053,154.172484496382,116.672201813465,0.00421045919422133,3.99778389314565e-05
"Empirical control","9",2018-06-12,13,7,12,9,0.538461538461538,0.692307692307692,0.923076923076923,4,0.0552631578947368,0.0576923076923077,0.0658483642219062,0.0568678984034407,0.909230309905605,0.748578269979048,146.615205422942,52.3972134656222,0.0158239135163229,0.00173589668417519
"Empirical control","9",2019-06-27,14,7,8,9,0.5,0.642857142857143,0.571428571428571,5,0.0404761904761905,0.0494505494505495,0.0523599826346373,0.0571712896828158,0.896572924517076,0.808306709265176,96.2591999700485,54.3284723895448,0.000599723576800185,8.36310993843619e-07
"Empirical control","9",2020-08-10,15,5,7,16,0.333333333333333,1.06666666666667,0.466666666666667,1,0.0605263157894737,0.0761904761904762,0.083862676249052,0.0846692529152491,0.931559881577221,0.90715576078337,144.669859426298,123.249138960242,0.000908487511469796,7.02478431035124e-06
